horse_name,evaluation,venue,race_name,horse_heads,horse_number,popularity,jockey,jockey_winning_percentage,distance,horse_weight,horse_weight_diff,winning_percentage,order
ヤマカツライデン,2.67,4京都3,京都大賞典(G2),10,6,4,池添謙一,29.917250,2400,532,0,42.424242,0
ヤマショウプリンス,0.00,2東京6,NHK杯(G2),16,10,12,大崎昭一,20.833333,2000,490,-4,50.000000,0
ヤマニンマンドール,0.00,1京都4,日刊スポシンザン記念(G3),12,8,7,岩田康誠,37.735110,1600,450,-6,29.629630,0
ヤマニンミネルバ,0.00,金沢,読売レディス杯[G1,11,4,6,上田将司,34.885387,1500,467,0,62.500000,1
ヤマノウィザード,2.63,4阪神6,神戸新聞杯(G2),16,7,7,藤田伸二,25.720621,2400,468,+6,55.555556,0
ヤマノウィザード,2.63,2東京3,テレビ東京杯青葉賞(G2),18,13,4,戸崎圭太,44.275057,2400,462,-2,55.555556,1
ヤマノグラップル,0.00,1中山5,京成杯(G3),15,3,15,柴田善臣,25.533290,2000,472,+6,16.666667,0
ヤマノファイト,3.67,門別,北海道2歳優駿〔Jp(G3),9,8,4,阿部龍,40.893929,1800,512,+4,70.000000,0
ヤマノファイト,3.67,2函館6,函館2歳S(G3),15,9,13,阿部龍,40.893929,1200,510,+4,70.000000,0
ヤマミダンス,0.00,金沢,MRO金賞[G1ステ,12,11,2,藤田弘治,50.591017,1900,480,+2,64.705882,1
ヤングマンパワー,3.57,5京都6,マイルチャンピオンS(G1),18,3,12,石橋脩,26.295082,1600,522,-2,50.000000,0
ヤングマンパワー,3.57,4東京2,毎日王冠(G2),12,9,8,石橋脩,26.295082,1800,524,-8,50.000000,0
ヤングマンパワー,3.57,2新潟6,関屋記念(G3),16,11,6,石橋脩,26.295082,1600,532,+16,50.000000,0
ヤングマンパワー,3.57,3東京2,安田記念(G1),18,17,11,松岡正海,22.262774,1600,516,+2,50.000000,0
ヤングマンパワー,3.57,3京都2,読売マイラーズC(G2),11,6,7,松岡正海,22.262774,1600,514,-4,50.000000,1
ヤングマンパワー,3.57,1東京4,東京新聞杯(G3),10,10,2,戸崎圭太,44.275057,1600,518,+6,50.000000,0
ヤングマンパワー,3.57,5京都6,マイルチャンピオンS(G1),18,5,4,バルザロ,33.018868,1600,512,-12,50.000000,0
ヤングマンパワー,3.57,4東京6,富士S(G3),11,3,3,戸崎圭太,44.275057,1600,524,-2,50.000000,1
ヤングマンパワー,3.57,2新潟6,関屋記念(G3),18,17,3,戸崎圭太,44.275057,1600,526,+12,50.000000,1
ヤングマンパワー,3.57,4東京6,富士S(G3),16,5,8,松岡正海,22.262774,1600,512,-6,50.000000,0
ヤングマンパワー,3.57,4中山2,京成杯オータムH(G3),16,13,7,松岡正海,22.262774,1600,518,-22,50.000000,1
ヤングマンパワー,3.57,2新潟6,関屋記念(G3),12,10,9,松岡正海,22.262774,1600,540,+18,50.000000,1
ヤングマンパワー,3.57,2東京6,NHKマイルC(G1),18,14,10,松岡正海,22.262774,1600,522,+4,50.000000,0
ヤングマンパワー,3.57,3中山5,ニュージーランドT(G2),16,16,4,丸山元気,22.775564,1600,518,-4,50.000000,0
ヤングマンパワー,3.57,1阪神1,アーリントンC(G3),12,8,9,松岡正海,22.262774,1600,522,+2,50.000000,1
ユウキビバワンダー,0.00,5中山7,中山大障害(J.G1),15,10,10,佐久間寛,15.267176,4100,496,-6,23.076923,0
