日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2015/09/11,園田,晴,1,C3二, ,10,3,3,17.4,4,3,宮下康一,54,ダ1400,重,**,1:34.0,1.3,**,2-3-3-3, ,41.5,425(+2), , ,グレイトフル,2.0
2015/08/27,園田,晴,2,C3二, ,8,1,1,13.9,4,5,竹村達也,54,ダ1400,稍,**,1:36.1,3.1,**,4-3-6-5, ,42.1,423(+2), , ,メイショウワザクラ,0.8
2015/08/13,園田,曇,2,C3三, ,9,8,9,11.5,6,2,竹村達也,54,ダ1400,不,**,1:35.3,0.7,**,2-2-1-2, ,42.8,421(-1), , ,オースミフェアリー,4.0
2015/07/29,園田,曇,2,C3二, ,10,8,9,147.0,10,7,宮下康一,54,ダ1400,稍,**,1:36.9,2.8,**,4-4-6-8, ,43.3,422(0), , ,ウインデスティニー, 
2015/07/16,園田,晴,3,C3二, ,9,8,9,228.1,9,8,宮下康一,54,ダ1400,稍,**,1:33.8,1.8,**,5-5-7-8, ,41.2,422(+3), , ,リュウノトップ, 
2015/07/02,園田,晴,4,C3一, ,10,3,3,91.3,10,10,宮下康一,54,ダ1400,重,**,1:36.0,4.0,**,8-8-10-10, ,42.2,419(-2), , ,ヘヴンリームーン, 
2015/06/19,園田,曇,7,C2三, ,9,7,7,38.4,7,9,宮下康一,54,ダ1400,重,**,1:35.7,3.1,**,7-8-9-9, ,41.9,421(-4), , ,アマゴワクチン, 
2015/06/03,園田,曇,4,C2四, ,10,8,10,45.6,7,9,宮下康一,54,ダ1400,不,**,1:30.8,2.7,**,4-4-5-5, ,40.7,425(0), , ,トミケンカリエンテ, 
2015/05/12,園田,雨,6,C2二, ,10,3,3,20.5,7,10,宮下康一,54,ダ1400,重,**,1:32.8,2.3,**,1-1-4-6, ,41.6,425(+1), , ,コスモディクタット, 
2015/04/29,園田,晴,2,C3一, ,10,7,7,22.5,5,3,宮下康一,54,ダ1400,良,**,1:33.4,1.2,**,2-2-2-2, ,41.4,424(-2), , ,サチノサンスイテイ,2.0
2015/04/14,園田,雨,2,C3二, ,10,2,2,6.2,3,3,宮下康一,54,ダ1400,不,**,1:30.0,0.4,**,1-1-1-1, ,40.2,426(+4), , ,ヴイブラッド,2.0
2015/04/01,園田,雨,3,C2四, ,12,5,6,51.2,8,6,平原透雄,54,ダ1400,稍,**,1:34.0,0.7,**,1-1-1-1, ,42.2,422(-2), , ,エイシンドルチェ, 
2015/03/17,園田,晴,5,C2, ,9,7,7,23.4,4,6,平原透雄,54,ダ1400,稍, ,1:34.7,2.5, ,2-2-2-3, ,42.4,424(-3), , ,リストワール, 
2015/03/04,園田,晴,2,C3一, ,9,6,6,61.2,9,2,竹村達也,54,ダ1400,不, ,1:31.7,0.2, ,3-3-2-2, ,38.7,427(0), , ,サクライーグル,3.6
2015/02/18,園田,曇,1,C3二, ,10,1,1,35.8,6,3,竹村達也,54,ダ1400,良, ,1:35.4,1.0, ,2-2-4-4, ,39.9,427(-2), , ,ユウキファイター,1.8
