日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2015/10/07,門別,晴,9,ヤングチャレンジカッ, ,9,7,7,23.7,6,2,五十嵐冬,54,ダ1200,良,**,1:16.3,0.1,**,2-1, ,39.7,444(-2), , ,サーラジャー,8.0
2015/10/01,門別,曇,1,2歳5組, ,8,3,3,33.7,6,8,五十嵐冬,54,ダ1600,良,**,1:49.8,3.3,**,1-1-1-3, ,44.0,446(0), , ,デライトメッセージ, 
2015/09/17,門別,晴,5,2歳5組, ,12,6,7,11.6,6,9,五十嵐冬,54,ダ1700,良,**,1:56.6,2.2,**,4-8-8-7, ,43.4,446(+8), , ,マホウジン, 
2015/08/19,門別,曇,1,2歳牝馬未勝利(未勝利), ,7,2,2,20.0,4,1,五十嵐冬,54,ダ1500,重,**,1:38.2,-0.2,**,3-3-2-2, ,40.8,438(-2), , ,(セクシーセディー),30.0
2015/08/05,門別,晴,1,ドーレくん賞(未勝利), ,12,4,4,14.1,6,6,五十嵐冬,54,ダ1600,良,**,1:49.8,1.2,**,1-1-1-1, ,44.6,440(-2), , ,キューバンボーイ, 
2015/07/23,門別,曇,3,2歳未勝利(未勝利), ,9,1,1,5.2,3,7,五十嵐冬,54,ダ1600,不,**,1:50.0,4.7,**,1-1-1-2, ,46.5,442(-4), , ,クインザヒーロー, 
2015/07/09,門別,晴,4,JRA認定フレッシュ(新馬), ,9,7,8,17.8,6,7,五十嵐冬,54,ダ1200,良,**,1:18.3,3.7,**,4-3, ,41.3,446(0), , ,タービランス, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/13,1中京1,晴,3,3歳未勝利,,16,2,3,51.8,8,5,藤田菜七,53,ダ1200,稍,**,1:14.4,2.1,**,7-7,35.7-36.6,38.3,520(+4),,,ペルペトゥオ,50.0
2017/11/11,3福島3,曇,1,2歳未勝利,,15,5,8,112.6,12,13,横山武史,52,ダ1700,良,**,1:54.9,6.5,**,3-3-7-12,30.7-39.5,45.2,516(+2),, ,ブロンズケイ, 
2017/10/09,4東京3,晴,4,2歳新馬,,15,2,3,34.8,7,8,横山武史,52,ダ1300,稍,**,1:21.2,2.4,**,7-6,30.2-35.9,37.7,514(0),, ,スターリーウォリア, 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/23,大井,晴,2,3歳　50万, ,0,7,12, , ,,矢野貴之,56,ダ1200,不, , , , , , , ,471(0), , , , 
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/14,1京都5,曇,7,4歳上500万下,,16,4,8,74.9,11,10,浜中俊,54,芝1800,良,**,1:49.2,1.4,**,3-4,35.7-35.0,36.1,426(+4),, ,ミスディレクション, 
2017/12/16,4中京5,晴,12,高山特別(500万下),,18,7,15,86.6,15,9,岩崎翼,54,芝2000,良,**,2:02.2,0.4,**,8-8-9-9,36.4-34.7,34.2,422(0),, ,マテンロウゴースト, 
2017/11/25,5京都7,晴,8,3歳上500万下,,18,8,16,69.1,12,10,岩崎翼,52,芝1800,良,**,1:49.4,1.0,**,10-14,36.6-35.0,35.2,422(0),, ,インヘリットデール, 
2017/11/05,5京都2,晴,8,3歳上500万下,,14,6,9,196.1,11,5,岩崎翼,52,芝2000,良,**,2:00.0,0.4,**,8-8-8-7,34.8-37.1,35.5,422(+4),, ,メイケイレジェンド,75.0
2017/10/14,3新潟1,晴,8,3歳上500万下,,16,3,6,23.9,8,12,岩崎翼,52,芝1800,良,**,1:47.9,1.8,**,1-1,35.2-33.8,35.6,418(-2),, ,ミッキーグローリー, 
2017/07/16,3中京6,晴,3,3歳未勝利,,18,7,14,33.4,8,1,岩崎翼,53,芝2000,良,**,2:01.6,-0.1,**,2-2-2-2,37.5-34.6,34.5,420(+2),, ,(コペルニクス),500.0
2017/06/24,3阪神7,晴,6,3歳未勝利,,18,7,15,67.7,9,8,岩崎翼,53,芝1800,良,**,1:47.4,0.7,**,2-2,35.4-34.3,34.9,418(+2),, ,キャンディストーム, 
2017/05/28,3京都12,晴,3,3歳未勝利,,16,5,9,26.5,8,6,和田竜二,54,芝2000,良,**,2:02.7,0.4,**,11-11-12-10,37.1-35.2,34.7,416(0),,,アドマイヤジョラス, 
2017/04/29,3京都3,晴,3,3歳未勝利,,12,8,11,22.4,6,9,岩崎翼,53,芝1800,良,**,1:49.9,2.0,**,6-5,35.4-35.3,36.8,416(-4),, ,ユイフィーユ, 
2017/01/14,1京都4,晴,1,3歳未勝利,,14,6,9,29.2,5,7,松若風馬,54,ダ1800,稍,**,1:56.5,2.9,**,4-5-6-6,37.2-36.7,39.1,420(0),, ,メイショウラケーテ, 
2016/12/17,5阪神5,晴,4,2歳未勝利,,16,1,1,63.2,9,7,岩崎翼,53,芝1800,良,**,1:50.8,0.7,**,10-10,35.9-35.3,35.2,420(0),,,スパークルメノウ, 
2016/11/27,5京都8,雨,3,2歳未勝利,,12,1,1,50.4,10,6,岩崎翼,53,芝1800,重,**,1:52.6,0.5,**,9-9,35.8-37.4,36.9,420(0),, ,サトノリュウガ, 
2016/10/30,4京都9,晴,5,2歳新馬,,11,6,6,71.0,9,5,岩崎翼,53,芝1800,良,**,1:51.0,0.4,**,2-2,38.2-34.7,35.1,420(0),, ,アンセム,70.0
日付,開催,天気,R,レース名,映像,頭数,枠番,馬番,オッズ,人気,着順,騎手,斤量,距離,馬場,馬場指数,タイム,着差,ﾀｲﾑ指数,通過,ペース,上り,馬体重,厩舎ｺﾒﾝﾄ,備考,勝ち馬(2着馬),賞金
2018/01/07,1京都2,晴,1,3歳未勝利,,16,2,4,7.8,3,4,浜中俊,54,ダ1200,良,**,1:14.2,1.1,**,1-1,35.6-37.5,38.6,470(0),, ,スリーヘリオス,75.0
2017/11/25,5京都7,晴,3,2歳未勝利,,18,7,13,6.9,3,4,岩田康誠,54,芝1400,良,**,1:23.0,0.2,**,1-1,35.4-35.7,35.9,470(-2),, ,マリアバローズ,75.0
2017/11/05,5京都2,晴,2,2歳未勝利,,15,5,9,47.9,7,4,岩田康誠,54,芝1600,良,**,1:36.4,1.3,**,1-1,35.1-35.1,36.4,472(0),, ,シグナライズ,75.0
2017/10/21,4京都6,雨,4,2歳新馬,,18,6,11,21.7,9,4,幸英明,54,芝1400,稍,**,1:25.0,0.7,**,5-5,36.3-35.8,36.1,472(0),, ,ナディア,110.0
