

ドアトゥブリス,グランプリボス,スイートスズラン
トリニティハート,マツリダゴッホ,トウカイデンヒル
トリプライト,ワイルドラッシュ(USA),タンザナイト
トリプルアロー,アンライバルド,マザーロード
トリプルキセキ,キンシャサノキセキ(AUS),アモリスト(USA)
トリプルスリー,コンデュイット(IRE),トリプルリーチ
トリプルベル,ハービンジャー(GB),ツクバエトワール
トリプルレインボー,トビーズコーナー(USA),ラブレインボー
ドリュウ,タイムパラドックス,ダブルプライム
トリリオネア(GB),Dubawi(IRE),Many Colours(GB)
ドリーミーモトヒメ,ハイアーゲーム,ローレルドリーム
ドリームアチーブ,ルールオブロー(USA),バンブーズルド
ドリームアプローズ,ナカヤマフェスタ,トップビクトリア
ドリームアロー,トランセンド,パシャ
ドリームイースト,キングヘイロー,ドリームレインボー
ドリームエルダー,スターリングローズ,スパイシー
ドリームオブユー,シンボリクリスエス(USA),ジューンアナガリス
ドリームガイド,マイネルラヴ(USA),マーガレットママ
ドリームガーサント,トビーズコーナー(USA),ドリームゴールド
ドリームキャンパス,バトルプラン(USA),ファインミスト
ドリームキラリ(USA),Giant's Causeway(USA),Truant
ドリームキング,サウスヴィグラス(USA),ドリームダイヤ
ドリームキングダム,マンハッタンカフェ,ドリームダイヤ
ドリームクリスマス,サウスヴィグラス(USA),ドリームレインボー
ドリームコンサート,サウスヴィグラス(USA),ウィーンコンサート
ドリームシイ,アポロキングダム(USA),セレナーデ
ドリームジェダイ,サムライハート,ジュリエトウショウ(USA)
ドリームジャンボ,ベーカバド(FR),ピュアドリーム
ドリームシューター,フサイチコンコルド,ホールオブフェーム
ドリームスイーブル,ミリオンディスク,バトルバーズアイ
ドリームスカイハイ,ディープスカイ,シーズババズディライト(USA)
ドリームスピリット,ディープブリランテ,ティーアイディップ
ドリームスピード,アグネスデジタル(USA),ドリームレインボー
ドリームズライン,ドリームジャーニー,ジョディーズライン
ドリームセオリー,ステイゴールド,ドリームスキーム(GB)
ドリームセンス,シンボリクリスエス(USA),パインブライト
ドリームソルジャー,ドリームジャーニー,カレイメモワール
ドリームタイド,ブラックタイド,コスモトップレディ
ドリームタイム,サイレントディール,スーパーシンガー
ドリームダンサー,ドリームジャーニー,ドリームレインボー
ドリームダークアイ,アドマイヤマックス,ドリームダンシーズ
ドリームチャイルド,ネイティヴハート,セレナーデ
ドリームチーフ,ドリームスプレッド,シルクストレイン
ドリームディバ,トワイニング(USA),マリンパンサー
ドリームデーア,シンボリクリスエス(USA),ドリームヒット
